capture_date,insurer,product_family_id,product_name_zh,category,comparison_bucket,payment_mode,payment_term_years,target_premium,target_total_premium,actual_premium,actual_total_premium_pdf,notional_amount,levy_per_payment,status,pdf_file,notes
2026-05-11,FWD,fwd_fortune_world_ii,盈聚‧天下 II 保險計劃,savings,2Y_ANNUAL,ANNUAL,2,15600.0,31200,15600.0,31200,15600,12.87,STANDARD_MATCH,20260511_FWD_SAVING_FortuneWorldII_USD15600_ANNUAL_2pay.pdf,PDF confirmed; annual target premium matches exactly.
2026-05-11,FWD,fwd_fortune_world_ii,盈聚‧天下 II 保險計劃,savings,2Y_MONTHLY,MONTHLY,2,1300.0,31200,1299.96,31199,14444,1.3,STANDARD_ROUNDED,20260511_FWD_SAVING_FortuneWorldII_TARGET1300_ACTUAL1299.96_MONTHLY_2pay_STANDARD_ROUNDED.pdf,"PDF confirmed. Monthly quote cannot exactly hit USD 1,300 because portal premium is solved from rounded notional amount."
2026-05-11,FWD,fwd_fortune_world_ii,盈聚‧天下 II 保險計劃,savings,2Y_SINGLE,SINGLE,2,,31200,,,,,NOT_OFFERED_IN_PORTAL,,Portal payment method dropdown for this product showed annual and monthly only; no single-pay option was available.
2026-05-11,FWD,fwd_fortune_world_ii,盈聚‧天下 II 保險計劃,savings,5Y_ANNUAL,ANNUAL,5,15600.0,78000,15600.0,78000,15600,12.87,STANDARD_MATCH,20260511_FWD_SAVING_FortuneWorldII_USD15600_ANNUAL_5pay.pdf,PDF confirmed; annual target premium matches exactly.
2026-05-11,FWD,fwd_fortune_world_ii,盈聚‧天下 II 保險計劃,savings,5Y_MONTHLY,MONTHLY,5,1300.0,78000,1299.96,77997,14444,1.3,STANDARD_ROUNDED,20260511_FWD_SAVING_FortuneWorldII_TARGET1300_ACTUAL1299.96_MONTHLY_5pay_STANDARD_ROUNDED.pdf,"PDF confirmed. Monthly quote cannot exactly hit USD 1,300 because portal premium is solved from rounded notional amount."
2026-05-11,FWD,fwd_fortune_world_ii,盈聚‧天下 II 保險計劃,savings,5Y_SINGLE,SINGLE,5,,78000,,,,,NOT_OFFERED_IN_PORTAL,,Portal payment method dropdown for this product showed annual and monthly only; no single-pay option was available.
2026-05-11,FWD,fwd_fortune_world_ii,盈聚‧天下 II 保險計劃,savings,10Y_ANNUAL,ANNUAL,10,15600.0,156000,15600.0,156000,15600,12.87,STANDARD_MATCH,20260511_FWD_SAVING_FortuneWorldII_USD15600_ANNUAL_10pay.pdf,PDF confirmed; annual target premium matches exactly.
2026-05-11,FWD,fwd_fortune_world_ii,盈聚‧天下 II 保險計劃,savings,10Y_MONTHLY,MONTHLY,10,1300.0,156000,1299.96,155995,14444,1.30,STANDARD_ROUNDED,20260511_FWD_SAVING_FortuneWorldII_TARGET1300_ACTUAL1299.96_MONTHLY_10pay_STANDARD_ROUNDED.pdf,"PDF confirmed. Monthly quote cannot exactly hit USD 1,300 because portal premium is solved from rounded notional amount."
2026-05-11,FWD,fwd_fortune_world_ii,盈聚‧天下 II 保險計劃,savings,10Y_SINGLE,SINGLE,10,,156000,,,,,NOT_OFFERED_IN_PORTAL,,Portal payment method dropdown for this product showed annual and monthly only; no single-pay option was available.
2026-05-11,FWD,fwd_creative_fortune_plus,創逸致富 (豐裕版),life-savings,2Y_ANNUAL,ANNUAL,2,15600,31200,,,,,NOT_OFFERED_IN_PORTAL,,"Portal payment term dropdown for this product showed single-pay, 5 years, and 10 years only; no 2-year option was available."
